month,year,volume_millions,value_crores,avg_ticket_size_rs,month_num
Apr,2023,896.35,1432087,15974,4
May,2023,934.19,1488683,15938,5
Jun,2023,938.47,1505541,16039,6
Jul,2023,999.57,1559442,15601,7
Aug,2023,1058.49,1579151,14919,8
Sep,2023,1047.45,1582930,15113,9
Oct,2023,1127.27,1766586,15672,10
Nov,2023,1134.49,1718031,15141,11
Dec,2023,1202.28,1828336,15206,12
Jan,2024,1239.01,1881249,15184,1
Feb,2024,1201.31,1829793,15232,2
Mar,2024,1340.56,1990616,14850,3
Apr,2024,1327.27,1988034,14977,4
May,2024,1403.80,2072427,14762,5
Jun,2024,1380.72,2074624,15025,6
Jul,2024,1440.73,2079428,14434,7
Aug,2024,1476.94,2117901,14342,8
Sep,2024,1556.79,2242419,14402,9
Oct,2024,1658.41,2347614,14156,10
Nov,2024,1547.59,2120014,13700,11
Dec,2024,1617.92,2325090,14371,12
Jan,2025,1699.00,2348000,13820,1
Feb,2025,1611.00,2196000,13630,2
